"MESH_ID","UMLS_CUI","ICD10CM_CODE","DRESCP"
"D005879","C0040517","F95.2","Combined vocal and multiple motor tic disorder [de la Tourette]"
"D007161","C0021071","C88.3","Mediterranean lymphoma"
"D008232","C0549463","D82.3","X-linked lymphoproliferative disease"
"D009377","C0027662","E31.2","Multiple endocrine adenomatosis"
"D012192","C0035369","B33.3","Retrovirus infection NOS"
"D020421","C0152179","G52.2","Disorders of pneumogastric [10th] nerve"
"D020817","C0236792","F84.5","Asperger's disorder"
"D040701","C0236816","F43.0","Acute crisis reaction"
"D000274","C0001529","E88.2","Lipomatosis (Check) dolorosa [Dercum]"
"D001008","C0003469","F41.9","Anxiety NOS"
"D006011","C0017923","E74.09","Andersen disease"
"D015223","C0043208","E75.5","Wolman's disease"
"D020178","C0877792","G47.20","Sleep wake schedule disorder NOS"
"D000224","C0001403","E27.1","Addison's disease"
"D007018","C0020635","E23.0","Pituitary insufficiency NOS"
"D012257","C0035528","E53.0","Ariboflavinosis"
"D012678","C0152027","H02.59","Sensory disorders"
"D016538","C0085132","E76.29","beta-Glucuronidase deficiency"
"D018455","C0242666","D68.59","Protein S deficiency"
"D007160","C0021070","C88.9","Immunoproliferative disease NOS"
"D009223","C0027126","G71.11","Myotonia atrophica"
"D011000","C0032238","B33.0","Bornholm disease"
"D009349","C0027583","B77","roundworm infection"
"D026681","C0936215","E53.1","Vitamin B6 deficiency"
"D003866","C0011581","F32.9","Depressive disorder NOS"
"D005494","C0016412","E53.8","Folate deficiency"
"D001714","C0005586","F31","manic-depressive reaction"
"D017085","C0002312","D56.0","Hemoglobin H disease"
"D012214","C0035439","I09.9","Rheumatic carditis"
"D005892","C0017575","A69.1","Spirochetal stomatitis"
"D005892","C0017575","A69.1","Vincent's gingivitis"
"D016537","C0085131","E75.19","GM1 gangliosidosis"
"D017243","C0162672","E88.42","Myoclonic epilepsy associated with ragged-red fibers"
"D007947","C0023462","C94.20","Acute megakaryoblastic leukemia NOS"
"D005199","C0015625","D61.09","Fanconi's anemia"
"D008924","C0026229","B88.9","Infestation by mites NOS"
"D008998","C0026470","D47.2","Monoclonal gammopathy of undetermined significance [MGUS]"
"D020386","C0242287","G71.19","Pseudomyotonia"
"D020391","C0238288","G71.0","Facioscapulohumeral muscular dystrophy"
"D020513","C0238357","G72.3","Hyperkalemic periodic paralysis (familial)"
"D000752","C0002892","D51.0","Biermer anemia"
"D003027","C0009088","G44.00","Cluster headache NOS"
"D003027","C0009088","G44.029","Chronic cluster headache NOS"
"D005642","C0016781","H18.51","Fuchs' dystrophy"
"D007951","C0023470","C92","myelogenous leukemia"
"D012554","C0036329","B65.2","Asiatic schistosomiasis"
"D054880","C0268225","E77.1","Aspartylglucosaminuria"
"D060368","C0152066","B48.0","Lobo's disease"
"D000140","C0001125","E87.2","Lactic acidosis"
"D005770","C0685938","C26.9","Malignant neoplasm of gastrointestinal tract NOS"
"D008556","C0025235","G51.2","Melkersson-Rosenthal syndrome"
"D010217","C0030372","A93.1","Pappataci fever"
"D005099","C0015310","H50.1","Divergent concomitant strabismus"
"D007970","C0023530","D72.819","Leukocytopenia, unspecified"
"D008118","C0023968","B74.3","Loa loa infection"
"D011371","C0033300","E34.8","Progeria"
"D017086","C0002875","D56.1","Homozygous beta thalassemia"
"D000789","C0002965","I20.0","Crescendo angina"
"D002820","C0008493","D39.2","Invasive hydatidiform mole"
"D009956","C0029291","A70","Psittacosis"
"D065632","C0008055","A92.0","Chikungunya (hemorrhagic) fever"
"D002181","C0700345","B37.3","Candidal vulvovaginitis"
"D002181","C0700345","B37.3","Monilial vulvovaginitis"
"D006319","C1691779","H90.5","Sensory hearing loss NOS"
"D010009","C0036391","G71.13","Chondrodystrophic myotonia"
"D010009","C0036391","G71.13","Congenital myotonic chondrodystrophy"
"D010034","C0029883","H65.9","Mucoid otitis media NOS"
"D016780","C0024537","B51.9","Plasmodium vivax malaria NOS"
"D006319","C0018784","H90.5","Perceptive hearing loss NOS"
"D034062","C0206042","A81.83","FFI"
"D020325","C0270860","G43.1","Basilar migraine"
"D015477","C0023480","C93.10","Chronic myelomonocytic leukemia NOS"
"D004416","C0205748","D22","atypical nevus"
"D013734","C0936016","E34.51","Complete androgen insensitivity"
"D013915","C0040015","D69.1","Glanzmann's disease"
"D004474","C0013570","B08.02","Contagious pustular dermatitis"
"D004612","C0013902","D58.1","Ovalocytosis (congenital) (hereditary)"
"D007516","C0242363","D13.7","Islet cell tumor"
"D020329","C0393615","G25.0","Familial tremor"
"D001907","C0006060","A77.1","Boutonneuse fever"
"D009107","C0026780","B26","epidemic parotitis"
"D006726","C0019917","H00.01","Stye"
"D014008","C0040259","B35.3","Athlete's foot"
"D015470","C1879321","C92.0","Acute myeloblastic leukemia (with maturation)"
"D001714","C0338831","F30.9","Mania NOS"
"D017189","C0006897","B81.1","Capillariasis NOS"
"D000073605","C0035597","A79.1","Vesicular rickettsiosis"
"D002825","C0008513","H30.9","Retinochoroiditis NOS"
"D007637","C0022573","H16.20","Superficial keratitis with conjunctivitis NOS"
"D007964","C0023518","D72.829","Leukocytosis, unspecified"
"D013031","C0037753","B70.1","Spirometrosis"
"D014985","C0043349","E50.7","Xerophthalmia NOS"
"D015043","C0043515","E16.4","Zollinger-Ellison syndrome"
"D011115","C0152025","A69.22","Polyneuropathy"
"D058565","C2875024","G04.90","Ventriculitis (cerebral) NOS"
"D059270","C0155448","H70.2","Inflammation of petrous bone"
"D020325","C0154723","G43.1","Migraine preceded or accompanied by transient focal neurological phenomena"
"C531633","C0268680","E53.8","Biotin deficiency"
"D014006","C0276742","B35.0","Kerion"
"D007006","C0271623","E23.0","Hypogonadotropic hypogonadism"
"D004831","C0393702","G40.4","Epilepsy with myoclonic-astatic seizures"
"D003221","C0152124","F44.89","Psychogenic confusion"
"D013575","C0221046","G90.01","Carotid sinus syndrome"
"D002546","C0917805","G45.9","Transient cerebral ischemia NOS"
"D003117","C0242225","H53.50","Color blindness NOS"
"D014201","C0015656","B66.5","Intestinal distomiasis"
"D005162","C0086335","F44.89","Ganser's syndrome"
"D014438","C0041471","A75.9","Typhus (fever) NOS"
"D020018","C0020594","F52.0","Lack or loss of sexual desire"
"D020526","C0271373","G46.3","Claude syndrome"
"C535952","C2062326","K52.81","Eosinophilic enteritis"
"C538420","C0235347","K14.3","Lingua villosa nigra"
"C535892","C0023645","L66.1","Follicular lichen planus"
"C535890","C0423738","K59.4","Proctalgia fugax"
"C535817","C0269680","O26.86","Polymorphic eruption of pregnancy"
"D003327","C0010068","I25.1","Coronary (artery) disease"
"D003784","C0011401","K04.2","Pulpal calcifications"
"D011654","C0034063","J81.1","Pulmonary edema NOS"
"D011843","C0034544","M54.1","Radiculitis NOS"
"D029424","C0024117","J44.9","Chronic obstructive lung disease NOS"
"D007676","C0022661","N18.9","Chronic renal disease"
"D008169","C0024110","J85.2","Abscess of lung NOS"
"D012019","C0034931","M89.0","Sudeck's atrophy"
"D012544","C0036310","M42.0","Calvé's disease"
"D003874","C0011608","L13.0","Duhring's disease"
"D011274","C0032994","O00.1","Fallopian pregnancy"
"D017514","C0162852","L41.0","Mucha-Habermann disease"
"D008180","C0242380","M32.11","Libman-Sacks disease"
"D008309","C0024633","K22.6","Mallory-Weiss syndrome"
"D058606","C0264897","I45.6","Accelerated atrioventricular conduction"
"D007669","C0022650","N20.0","Renal calculus"
"D010485","C0031030","K04.5","Apical periodontitis NOS"
"D011657","C0242459","J82","Löffler's pneumonia"
"D055010","C0376378","M53.0","Posterior cervical sympathetic syndrome"
"D005258","C0015773","M05.0","Rheumatoid arthritis with splenoadenomegaly and leukopenia"
"D005356","C0016053","M79.7","Fibromyositis"
"D005356","C0016053","M79.7","Fibrositis"
"D060725","C0237065","N85.4","Retroflexion of uterus"
"D008796","C0025874","N92.1","Irregular intermenstrual bleeding"
"D016724","C0014013","J86.9","Abscess of thorax"
"D016724","C0014013","J86.9","Suppurative pleurisy"
"D009402","C0027721","N04","lipoid nephrosis"
"D012080","C1527410","N25.0","Renal rickets"
"D013716","C0039516","M77.1","Tennis elbow"
"D003668","C0011127","L89","decubitus ulcer"
"D003668","C0011127","L89","pressure sore"
"D013991","C0040213","M94.0","Costochondritis"
"D000022","C0000786","O03.9","Spontaneous abortion NOS"
"D007911","C0023321","L81.4","Lentigo"
"D012221","C0035457","J30.89","Perennial allergic rhinitis"
"D001416","C0004604","M54.9","Backache NOS"
"D015522","C0016735","J32.1","Frontal sinusitis NOS"
"D011842","C0034543","K04.8","Apical (periodontal) cyst"
"D008478","C0025062","J98.2","Mediastinal emphysema"
"D014648","C0042345","I83.90","Varicose veins NOS"
"D018457","C0242669","O72.0","Retained placenta NOS"
"D019568","C0264395","J43.0","Swyer-James syndrome"
"D000505","C0002170","L65.9","Alopecia NOS"
"D053717","C1701940","J95.851","Ventilator associated pneumonitis"
"D056304","C0576093","M21.06","Genu valgum"
"D012797","C0037033","K11.8","Necrotizing sialometaplasia"
"D046449","C0178282","K46.9","Abdominal hernia NOS"
"D006553","C0019310","K45","obturator hernia"
"D056305","C0544755","M21.16","Bow leg"
"D003963","C0011974","L22","Diaper erythema"
"D008100","C0023885","K75.0","Hepatic abscess NOS"
"D006333","C0018802","I50.9","Congestive heart failure NOS"
"D007673","C0022656","N17.1","Cortical necrosis NOS"
"D012594","C0036420","L94.0","Circumscribed scleroderma"
"D005921","C0017658","N05","glomerulonephritis NOS"
"D002613","C0007971","K13.0","Cheilitis NOS"
"D003803","C0011428","K09.0","Dentigerous cyst"
"D003805","C0011430","K00.5","Dentinal dysplasia"
"D006073","C0018099","M10.9","Gout NOS"
"D006547","C0019270","K46","hernia NOS"
"D006872","C0020303","J94.8","Hydropneumothorax"
"D006876","C0020312","J94.8","Hydrothorax"
"D007079","C0020877","K52.9","Ileitis NOS"
"D008199","C0024205","I88.9","Lymphadenitis NOS"
"D010024","C0029456","M81.0","Osteoporosis NOS"
"D010518","C0031099","K05.3","Periodontitis NOS"
"D010689","C0031542","I80","inflammation, vein"
"D012078","C0035066","N28.0","Renal artery obstruction"
"D054059","C0151814","I22","coronary (artery) occlusion"
"D055034","C0029429","M93.9","Osteochondrosis NOS"
"D055953","C2347126","M31.7","Microscopic polyarteritis"
"D006552","C0019296","K40","indirect inguinal hernia"
"D007673","C1720775","N17.0","Tubular necrosis NOS"
"D005882","C0017577","K05.1","Desquamative gingivitis (chronic)"
"D014096","C0162475","K00.1","Distomolar"
"D000789","C0086666","I20.0","Preinfarction syndrome"
"D010689","C0031129","I80","periphlebitis"
"D010490","C0242426","I31.3","Chylopericardium"
"C535908","C0266521","Q07.8","Marcus Gunn's syndrome"
"C535970","C0155299","Q14.2","Coloboma of optic disc"
"C537533","C0265202","Q87.1","Seckel syndrome"
"C531614","C0220724","Q79.8","Congenital constricting bands"
"C535802","C0152438","Q74.0","Sprengel's deformity"
"C535974","C0221215","Q21.2","Common atrioventricular canal"
"C562573","C0266667","Q87.0","Cyclopia"
"D003966","C0011989","Q78.3","Camurati-Engelmann syndrome"
"D006259","C0018674","S09.90","Head injury NOS"
"D009139","C0151491","Q79.9","Congenital deformity of musculoskeletal system NOS"
"D005131","C0015408","S05.9","Injury of eye NOS"
"D004687","C0014084","Q78.4","Ollier's disease"
"D013341","C0038505","Q85.8","Sturge-Weber(-Dimitri) syndrome"
"D005124","C0015393","Q15.9","Congenital deformity of eye"
"D020221","C0161398","S04.019","Injury of optic nerve NOS"
"D017490","C0079154","Q80.2","Collodion baby"
"D018746","C0242966","R65.10","Systemic inflammatory response syndrome (SIRS) NOS"
"D007409","C0266175","Q41.1","Imperforate jejunum"
"D010855","C0031900","Q87.0","Robin syndrome"
"D054082","C0266483","Q04.3","Pachygyria"
"D054082","C0266483","Q04.8","Macrogyria"
"D001006","C0003466","Q42.3","Imperforate anus"
"D011218","C0032897","Q87.1","Prader-Willi syndrome"
"D017204","C0162635","Q93.5","Angelman syndrome"
"D005600","C0016667","Q99.2","Fragile X syndrome"
"D006529","C0019209","R16.0","Hepatomegaly NOS"
"D017689","C0152427","Q69.9","Supernumerary digit(s) NOS"
"D001924","C0006107","S06.0","Commotio cerebri"
"D008342","C0242387","Q75.4","Treacher Collins syndrome"
"D007969","C0023529","P91.2","Periventricular leukomalacia"
"D058497","C0265233","Q87.0","Cryptophthalmos syndrome"
"D008471","C0025048","P24.00","Meconium aspiration NOS"
"D058495","C0175695","Q87.3","Sotos syndrome"
"D001746","C0005689","Q64.19","Extroversion of bladder"
"D004687","C0024454","Q78.4","Maffucci's syndrome"
"D012127","C0035220","P22.0","Cardiorespiratory distress syndrome of newborn"
"D002971","C0008924","Q36.9","Cleft lip NOS"
"D008591","C0025312","Q05","meningomyelocele"
"D006963","C0020505","R63.2","Excessive eating"
"D000072281","C0497156","R59.1","Lymphadenopathy NOS"
"D000130","C0001080","Q77.4","Osteosclerosis congenita"
"D001469","C0004760","T70.29","Barotrauma NOS"
"D003444","C0010392","T79.5","Crush syndrome"
"D005264","C0015802","S72.9","Fracture of upper leg NOS"
"D009325","C0027497","R11.0","Nausea NOS"
"D010310","C0030584","Q50.5","Parovarian cyst"
"D012640","C0036572","R56.9","Fit NOS"
"D053159","C0013428","R30.9","Painful urination NOS"
"C538411","C0011989","Q78.3","Camurati-Engelmann syndrome"
"D054000","C0362030","Q82.5","Verrucous Nevus"
"D020233","C0231687","R26.1","Spastic gait"
"D008591","C0086664","Q05","myelocele"
"D004480","C0031575","Q73.1","Phocomelia NOS"
"C537592","C1853118","D70.0","Kostmann's disease"
"C562602","C0268186","E74.39","Glucose-galactose malabsorption"
"D001906","C0006057","A05.1","Botulism NOS"
"D004422","C0013423","G24.1","Dystonia deformans progressiva"
"D005953","C0017920","E74.01","Type I glycogen storage disease"
"D006010","C0017922","E74.03","Type III glycogen storage disease"
"D007562","C0751254","A81.09","Familial Creutzfeldt-Jakob disease"
"D007859","C0023186","F81.9","Learning disorder NOS"
"D009377","C0027662","E31.20","Multiple endocrine adenomatosis NOS"
"D009377","C0027662","E31.20","Multiple endocrine neoplasia [MEN] syndrome NOS"
"D014201","C0040820","B83.9","Worms NOS"
"D017109","C0162550","G25.71","Drug induced acathisia"
"D040701","C0236816","F43.0","Acute reaction to stress"
"D001289","C1263846","F90","attention deficit disorder with hyperactivity"
"D003291","C0009946","F44","conversion hysteria"
"D004457","C0013533","B34.1","Echovirus infection NOS"
"D006362","C0018854","C88.2","Gamma heavy chain disease"
"D009369","C0027651","D49","neoplasm NOS"
"D017229","C0086227","B80","threadworm infection"
"D020961","C0752347","G31.83","Lewy body disease"
"D004393","C0013338","E23.0","Lorain-Levi short stature"
"D007863","C0023195","E78.6","Lecithin cholesterol acyltransferase deficiency"
"D009472","C0751383","E75.4","Spielmeyer-Vogt disease"
"D014355","C0041234","B57.2","American trypanosomiasis NOS"
"D004827","C0014544","G40.909","Epileptic convulsions NOS"
"D005173","C0015523","D68.1","Plasma thromboplastin antecedent [PTA] deficiency"
"D007918","C0023343","A30","infection due to Mycobacterium leprae"
"D000755","C0002895","D57.1","Sickle-cell anemia NOS"
"D000755","C0002895","D57.1","Sickle-cell disorder NOS"
"D006013","C0017925","E74.09","Liver phosphorylase deficiency"
"D014895","C0043102","A27.0","Weil's disease"
"D001714","C0005586","F31","manic-depressive illness"
"D019896","C0221757","E88.01","AAT deficiency"
"D019955","C0149654","F91.9","Conduct disorder NOS"
"D000744","C0175816","D59.1","Cold agglutinin disease"
"D003527","C0010598","F34.0","Affective personality disorder"
"D003527","C0010598","F34.0","Cyclothymic personality"
"D015479","C0023479","C92.50","Acute myelomonocytic leukemia NOS"
"D007889","C0042133","D25","uterine fibroid"
"D013920","C0040028","D47.3","Essential thrombocytosis"
"D024821","C0524620","E88.81","Dysmetabolic syndrome X"
"D006030","C0017980","E74.8","Renal glycosuria"
"D008457","C0025007","B05.9","Measles NOS"
"D011695","C0034152","D69.0","Purpura Henoch(-Schönlein)"
"D011695","C0034152","D69.0","Purpura anaphylactoid"
"D014608","C0042171","D86.89","Uveoparotid fever [Heerfordt]"
"D011778","C0034362","A78","Infection due to Coxiella burnetii"
"D009085","C0086652","E76.211","Morquio-like syndrome"
"D009085","C0086652","E76.211","Mucopolysaccharidosis, type IVB"
"D010954","C0032131","C90.30","Solitary plasmacytoma NOS"
"D013968","C0040149","E06.1","Giant-cell thyroiditis"
"D013968","C0040149","E06.1","Granulomatous thyroiditis"
"D013968","C0040149","E06.1","de Quervain thyroiditis"
"D015001","C0043388","A66","frambesia (tropica)"
"D003557","C0010701","D48.6","Cystosarcoma phyllodes"
"D007815","C0546999","B76.9","Cutaneous larva migrans NOS"
"D012523","C0036231","A07.8","Sarcocystosis"
"D002177","C0006840","B37","candidosis"
"D006947","C0020461","E87.5","Potassium [K] excess"
"D007970","C0023530","D72.819","Leukopenia"
"D017086","C0002875","D56.1","Beta thalassemia major"
"D017086","C0002875","D56.1","Cooley's anemia"
"D020820","C0013384","G24","dyskinesia"
"D007938","C0023418","C95.90","Leukemia NOS"
"D010622","C0031381","F16","phencyclidine"
"D000750","C0002890","D61.82","Leukoerythroblastic anemia"
"D006480","C0019101","A98.5","Korean hemorrhagic fever"
"D014387","C0041315","A15.5","Tuberculosis of larynx"
"D015827","C0029002","B73","river blindness"
"D012560","C0036344","F20.2","Schizophrenic catalepsy"
"D014009","C0040261","B35.1","Ringworm of nails"
"D014406","C0041351","A21","infection due to Francisella tularensis"
"D010229","C0030409","B41","Brazilian blastomycosis"
"D005386","C0040068","F98.8","Thumb-sucking"
"D018273","C1328479","C25.4","Malignant neoplasm of islets of Langerhans"
"D006560","C0019345","B00.1","Herpes simplex labialis"
"D011164","C0032708","E80.20","Porphyria NOS"
"D009107","C0026780","B26.9","Mumps parotitis NOS"
"D014008","C0040259","B35.3","Dermatophytosis of foot"
"D001196","C0003950","B77","ascaridiasis"
"D014205","C0040830","A79.0","Wolhynian fever"
"D001602","C0005122","E51.11","Beriberi NOS"
"D002822","C0008497","C58","chorionepithelioma NOS"
"D003863","C0011570","F33.9","Monopolar depression NOS"
"D015787","C0014740","A26.0","Erythema migrans"
"D006042","C0018021","E04.9","Goiter NOS"
"D009230","C0027145","E03.9","Myxedema NOS"
"D009794","C0028817","E70.29","Ochronosis"
"D014256","C0040953","F63.3","Hair plucking"
"D000138","C0220981","E87.2","Metabolic acidosis"
"D000073605","C0549160","A77.2","Siberian tick typhus"
"D006660","C0153261","B39.4","American histoplasmosis"
"D009207","C0030214","G25.3","Palatal myoclonus"
"C538011","C0271073","H35.06","Retinal perivasculitis"
"D005588","C0016632","L75.2","Fox-Fordyce disease"
"D008575","C0025281","H81.0","Ménière's syndrome or vertigo"
"D009050","C0026618","K00.3","Dental fluorosis"
"D005348","C1527375","N60.1","Cystic breast"
"D007319","C0917801","G47.00","Insomnia NOS"
"D008882","C0026103","K11.8","Mikulicz' disease"
"D011656","C0034067","J43.9","Emphysema (lung)(pulmonary) NOS"
"D013683","C0039445","I78.0","Rendu-Osler-Weber disease"
"D003424","C0010346","K50","granulomatous enteritis"
"D011697","C0034155","M31.1","Thrombotic thrombocytopenic purpura"
"D020437","C0152181","G52.3","Disorders of 12th cranial nerve"
"D005141","C0015423","H02.9","Disorder of eyelid NOS"
"D008180","C0024141","M32.9","Systemic lupus erythematosus NOS"
"D020258","C0154659","G92","Toxic encephalitis"
"D013901","C0039984","G54.0","Thoracic outlet syndrome"
"D006973","C0020538","I10","high blood pressure"
"D014063","C0040412","K14.5","Furrowed tongue"
"D012891","C0037315","G47.30","Sleep apnea NOS"
"D015436","C0025470","K65.4","Mesenteric lipodystrophy"
"D015436","C0025470","K65.4","Mesenteric panniculitis"
"D004368","C0013240","M27.3","Alveolar osteitis"
"D006550","C0019288","K41.90","Femoral hernia NOS"
"D017696","C0206157","G71.2","Nemaline myopathy"
"D036981","C0149756","M72.2","Plantar fasciitis"
"D002546","C0007787","G45.9","TIA"
"D009290","C0027404","G47.419","Narcolepsy NOS"
"D006255","C0018621","J30.1","Pollinosis"
"D010264","C0030486","G82.2","Paralysis of both lower limbs NOS"
"D002921","C2004491","L90.5","Cicatrix"
"D008883","C0162423","L74.2","Miliaria tropicalis"
"D010437","C0030920","K27","gastroduodenal ulcer NOS"
"D014890","C3495801","M31.30","Wegener's granulomatosis NOS"
"D002311","C0007193","I42.0","Congestive cardiomyopathy"
"D065666","C1412000","K55.1","Mesenteric vascular insufficiency"
"D020246","C0042487","I82.90","Thrombosis (vein) NOS"
"D020795","C0085636","H53.14","Photophobia"
"D003328","C0010072","I21","coronary (artery) thrombosis"
"D010245","C0030443","G72.3","Familial periodic paralysis"
"D012848","C0037188","I45.5","Sinoatrial block"
"D065166","C0393642","G93.41","Septic encephalopathy"
"D004803","C0014461","K13.4","Eosinophilic granuloma"
"D003424","C0267380","K50.0","Regional ileitis"
"D003117","C0155017","H53.55","Tritanopia"
"D003963","C0011974","L22","Diaper rash"
"D011707","C0034194","K31.1","Pyloric stenosis NOS"
"D014096","C0040457","K00.1","Supplementary teeth"
"D000072716","C0596240","G89.3","Tumor associated pain"
"D005902","C0339573","H40.11","Chronic simple glaucoma"
"D001025","C0003509","I77.6","Aortitis NOS"
"D001987","C0006267","J47.9","Bronchiectasis NOS"
"D004377","C0013288","K91.1","Dumping syndrome"
"D005203","C0015634","J67.0","Moldy hay disease"
"D005759","C0017160","K52.9","Gastroenteritis NOS"
"D006316","C0018780","H91.9","High frequency deafness"
"D006936","C0020441","K03.4","Cementation hyperplasia"
"D006983","C0020555","L68","excess hair"
"D007383","C0021775","I73.9","Intermittent claudication"
"D007973","C0023533","N89.8","Leukorrhea NOS"
"D010195","C0030305","K85.9","Pancreatitis NOS"
"D011017","C0032298","J69.1","Lipid pneumonia NOS"
"D012006","C0034895","N82.3","Rectovaginal fistula"
"D013614","C0039236","I47.9","Bouveret (-Hoffman) syndrome"
"D014605","C0042164","H20.9","Uveitis NOS"
"D014847","C0042996","N76.2","Vulvitis NOS"
"D053040","C0392525","N20.0","Nephrolithiasis NOS"
"D020255","C0042907","H43.81","Vitreous detachment"
"D031901","C2931618","O01.9","Trophoblastic disease NOS"
"C562400","C0155211","H02.71","Dyspigmentation of eyelid"
"C563161","C0848548","I12","hypertensive nephropathy"
"C562379","C0011645","L82","dermatosis papulosa nigra"
"D051302","C1565171","G44.039","Episodic paroxysmal hemicrania NOS"
"D000022","C0000822","O00.1","Tubal abortion"
"D012607","C0235068","H53.12","Scintillating scotoma"
"D002547","C0338596","G80.1","Spastic cerebral palsy NOS"
"D057887","C0596028","M26.29","Overbite (excessive) horizontal"
"D006552","C0019295","K40","direct inguinal hernia"
"D020758","C0018949","G95.19","Hematomyelia"
"D003424","C0156147","K50.1","Granulomatous colitis"
"D008599","C0020624","N91.5","Hypomenorrhea NOS"
"D014096","C0162475","K00.1","Fourth molar"
"D005926","C0241426","K14.6","Glossopyrosis"
"D020435","C0154731","G52.1","Glossopharyngeal neuralgia"
"D008881","C0338489","G43.901","Status migrainosus NOS"
"C536330","C0158683","Q44.6","Fibrocystic disease of liver"
"C535326","C0265264","Q87.2","Holt-Oram syndrome"
"C537922","C0265372","Q86.1","Meadow's syndrome"
"C562492","C0265205","Q87.1","Robinow-Silverman-Smith syndrome"
"D009421","C0497552","Q07.9","Congenital deformity NOS of nervous system"
"D005151","C0015459","S09.93","Injury of face NOS"
"D000015","C0000772","Q89.7","Multiple congenital deformities NOS"
"D014402","C0041341","Q85.1","Bourneville's disease"
"D000168","C0001193","Q87.0","Acrocephalosyndactyly [Apert]"
"D003294","C0009952","R56.00","Febrile seizure NOS"
"D005097","C0015306","Q78.6","Diaphyseal aclasis"
"D065707","C0266484","Q04.6","Schizencephaly"
"D061223","C0273486","S04.89","Injury of vagus [10th ] nerve"
"D006617","C0019554","S73.00","Dislocation of hip NOS"
"D059245","C0158940","P22.1","Idiopathic tachypnea of newborn"
"D006928","C0020417","S12.8","Hyoid bone"
"D003221","C0009676","R41.0","Confusion NOS"
"D000799","C0002994","T78.3","Quincke's edema"
"D018883","C0018843","T67.0","Heat apoplexy"
"D018883","C0018843","T67.0","Thermoplegia"
"D007662","C0162275","R82.4","Ketonuria"
"D014593","C0042135","O62.2","Uterine inertia NOS"
"D015160","C0020305","P83.2","Hydrops fetalis NOS"
"D002971","C0008924","Q36","congenital fissure of lip"
"D002971","C0008924","Q36","labium leporinum"
"D001237","C0004044","T71.9","Suffocation NOS"
"D020788","C0752166","Q87.89","Laurence-Moon (-Bardet)-Biedl syndrome"
"D000647","C0002622","R41.3","Memory loss NOS"
"D000532","C0002351","T70.29","Mountain sickness"
"D002639","C0008039","R06.3","Cheyne-Stokes breathing"
"D002972","C0008925","Q35.9","Cleft palate NOS"
"D006810","C0020162","S42.3","Fracture of humerus NOS"
"D011141","C0032617","R35.8","Polyuria NOS"
"D014496","C0041915","Q64.4","Cyst of urachus"
"D018324","C0206733","Q82.5","Strawberry Nevus"
"C562398","C0152441","Q74.0","Madelung's deformity"
"D003294","C0751057","R56.01","Complex febrile seizure"
"D000377","C0234511","R48.1","Autotopagnosia"
"D004480","C0002447","Q73.0","Amelia NOS"
"C537592","C1853118","D70.0","Infantile genetic agranulocytosis"
"C536227","C0221023","D70.4","Cyclic hematopoiesis"
"D009196","C0027022","D47.1","Myeloproliferative disease, unspecified"
"D012478","C0036114","A02.0","Salmonellosis"
"D020152","C0272375","D68.59","Antithrombin III deficiency"
"D029502","C0949116","D61.01","Familial hypoplastic anemia"
"D050031","C0677607","E06.3","Struma lymphomatosa"
"D006111","C0018213","E05.0","Graves' disease"
"D009369","C0027651","D49","new growth NOS"
"D012507","C0036202","D80-D89","sarcoidosis"
"D018778","C0242994","A98.5","Hantaan virus disease"
"D014901","C0751583","A92.31","West Nile encephalitis"
"D002528","C0750995","D33.1","Benign neoplasm of cerebellum"
"D028922","C0268581","D81.818","Holocarboxylase synthetase deficiency"
"D004184","C0012602","B74.8","Dirofilariasis"
"D004320","C0013100","B72","infection due to Dracunculus medinensis"
"D006646","C0019621","C96.5","Hand-Schüller-Christian disease"
"D014842","C0042974","D69.8","Vascular pseudohemophilia"
"D015459","C0023493","C91.50","Adult T-cell lymphoma/leukemia (HTLV-1-associated) NOS"
"D015456","C0023464","C95.0","Acute mixed lineage leukemia"
"D015456","C0023464","C95.0","Biphenotypic acute leukemia"
"D004605","C0013884","B74.0","Bancroftian elephantiasis"
"D006562","C0019360","B02","zona"
"D007889","C0042133","D25","uterine myoma"
"D054312","C0085568","A31.1","Infection due to Mycobacterium ulcerans"
"D055728","C0001815","D47.4","Chronic idiopathic myelofibrosis"
"D014923","C0043194","D82.0","Immunodeficiency with thrombocytopenia and eczema"
"D002006","C0006309","A23","undulant fever"
"D011778","C0034362","A78","Nine Mile fever"
"D014388","C0041316","A18.2","Tuberculous adenitis"
"D023981","C0152276","C92.3","Chloroma"
"D002180","C0006849","B37.0","Oral thrush"
"D006100","C0018190","A58","Donovanosis"
"D002177","C0006840","B37","moniliasis"
"D006528","C2239176","C22.0","Hepatocellular carcinoma"
"D012409","C0035920","B06.9","Rubella NOS"
"D010495","C0031049","A18.84","Tuberculous pericarditis"
"D014010","C0040262","B36.0","Tinea flava"
"D014010","C0040262","B36.0","Tinea versicolor"
"D014571","C0751571","C68.9","Malignant neoplasm of urinary system NOS"
"D004761","C1257843","A04.7","Pseudomembraneous colitis"
"D054685","C1292753","C83.8","Primary effusion B-cell lymphoma"
"D009625","C0028271","A69.0","Noma"
"D006043","C0018022","E01.2","Endemic goiter NOS"
"D007898","C0023290","B55.0","Kala-azar"
"D014235","C0040896","B75","infection due to Trichinella species"
"D008067","C0023798","D17.9","Lipoma NOS"
"D007952","C0023484","C90.10","Plasma cell leukemia NOS"
"D004474","C0013570","B08.02","Ecthyma contagiosum"
